縣市,監測月份,測站,DEC,NOV,OCT,SEP,AUG,JUL,Jun,May,Apr,Mar,Feb,Jan,PM25Mean,Lon84,Lat84
高雄市,2014/12,左營,51,40,38,18,11,15,13,20,36,39,36,56,31.08333333,120.292917,22.674861
高雄市,2014/12,楠梓,53,45,44,18,8,12,11,17,34,42,36,55,31.25,120.328289,22.733667
高雄市,2014/12,前金,47,37,35,17,11,14,12,20,36,41,39,56,30.41666667,120.288086,22.63256
高雄市,2014/12,前鎮,54,49,43,22,13,17,13,21,37,39,37,56,33.41666667,120.307564,22.605386
高雄市,2014/12,復興,54,43,37,15,10,11,10,18,34,39,36,55,30.16666667,120.312017,22.608711
高雄市,2014/12,小港,51,41,40,22,14,15,15,22,31,36,34,51,31,120.337736,22.565833
高雄市,2014/12,鳳山,49,41,38,19,9,13,12,21,36,42,34,54,30.66666667,120.358083,22.627392
高雄市,2014/12,林園,47,42,42,20,11,15,12,18,31,34,32,51,29.58333333,120.41175,22.4795
高雄市,2014/12,大寮,51,39,34,12,na,10,10,17,30,40,36,54,30.27272727,120.425311,22.564136
高雄市,2014/12,仁武,50,42,39,21,12,17,13,21,38,45,39,53,32.5,120.332631,22.689056
高雄市,2014/12,橋頭,51,44,38,12,4,6,5,13,34,37,34,49,27.25,120.305689,22.757506
高雄市,2014/12,美濃,42,37,34,12,8,11,na,11,26,38,32,43,26.72727273,120.530542,22.883583
